Name,Team,Opp,Score,Sacks,Sack Yds,QB Hits,Tackles,Assists,Fumbles Forced,Fumbles Recovered
Carlos Dunlap,CIN,vs CLE,W  31-10,2.0,16.0,3,4,0,0,0
Brandon Graham,PHI,@ DAL,W  33-27,2.0,15.0,1,7,0,2,0
Lamarr Houston,CHI,@,W  22-19,2.0,18.0,4,2,0,0,0
Jerry Hughes,BUF,vs MIA,W  33-17,2.0,27.0,4,3,0,1,1
Lorenzo Mauldin,NYJ,vs,W  28-23,2.0,10.0,4,2,2,0,0
Brian Orakpo,TEN,@ NO,W  34-28,2.0,12.0,3,3,1,0,0
Maurice Alexander,,@ MIN,L  18-21,1.0,11.0,1,2,0,0,0
Geno Atkins,CIN,vs CLE,W  31-10,1.0,8.0,1,3,1,0,0
Connor Barwin,PHI,@ DAL,W  33-27,1.0,1.0,1,4,0,0,0
Angelo Blackson,TEN,@ NO,W  34-28,1.0,9.0,1,1,2,0,0
Navorro Bowman,SF,vs ATL,W  17-16,1.0,9.0,3,6,1,0,0
Desmond Bryant,CLE,@ CIN,L  10-31,1.0,7.0,1,2,0,0,0
Chris Clemons,,@ NYJ,L  23-28,1.0,3.0,2,1,0,0,0
Kurt Coleman,CAR,vs GB,W  37-29,1.0,7.0,2,3,2,0,0
Thomas Davis,CAR,vs GB,W  37-29,1.0,8.0,2,4,2,0,0
Kony Ealy,CAR,vs GB,W  37-29,1.0,6.0,3,1,0,1,0
Greg Hardy,DAL,vs PHI,L  27-33,1.0,8.0,2,2,1,0,0
Melvin Ingram,,vs CHI,L  19-22,1.0,8.0,2,5,0,1,0
Reshad Jones,MIA,@ BUF,L  17-33,1.0,12.0,1,6,1,0,0
Chandler Jones,NE,vs WAS,W  27-10,1.0,4.0,1,3,1,0,0
Mychal Kendricks,PHI,@ DAL,W  33-27,1.0,6.0,1,5,0,0,0
Paul Kruger,CLE,@ CIN,L  10-31,1.0,8.0,1,2,0,0,0
Kendall Langford,IND,vs DEN,W  27-24,1.0,7.0,5,3,3,0,0
Star Lotulelei,CAR,vs GB,W  37-29,1.0,8.0,2,2,1,0,0
Aaron Lynch,SF,vs ATL,W  17-16,1.0,9.0,1,2,1,0,0
Jared Odrick,,@ NYJ,L  23-28,1.0,8.0,1,1,1,0,0
Calvin Pace,NYJ,vs,W  28-23,1.0,14.0,2,1,2,1,1
Jordan Phillips,MIA,@ BUF,L  17-33,1.0,6.0,1,1,0,0,0
Kawann Short,CAR,vs GB,W  37-29,1.0,9.0,2,4,1,0,0
Aldon Smith,OAK,@ PIT,L  35-38,1.0,11.0,2,3,0,0,0
Ndamukong Suh,MIA,@ BUF,L  17-33,1.0,9.0,1,1,2,0,0
DeMarcus Ware,DEN,@ IND,L  24-27,1.0,7.0,1,1,0,0,0
Wesley Woodyard,TEN,@ NO,W  34-28,1.0,11.0,1,6,2,0,0
Dion Bailey,NYJ,vs,W  28-23,0.5,2.5,1,3,3,0,0
Damon Harrison,NYJ,vs,W  28-23,0.5,2.5,1,2,4,0,0
Linval Joseph,MIN,vs,W  21-18,0.5,4.0,2,7,3,0,0
Sheldon Richardson,NYJ,vs,W  28-23,0.5,3.5,4,2,3,0,0
Andrew Sendejo,MIN,vs,W  21-18,0.5,4.0,1,5,2,0,0
Marcus Williams,NYJ,vs,W  28-23,0.5,2.5,1,2,1,0,0
Sam Acho,CHI,@,W  22-19,0.0,0.0,0,2,0,0,0
Mike Adams,IND,vs DEN,W  27-24,0.0,0.0,0,1,0,0,0
Phillip Adams,ATL,@ SF,L  16-17,0.0,0.0,0,1,0,0,0
Jahleel Addae,,vs CHI,L  19-22,0.0,0.0,0,6,1,0,0
Mario Addison,CAR,vs GB,W  37-29,0.0,0.0,1,0,1,0,0
Jude Adjei-Barimah,TB,vs NYG,L  18-32,0.0,0.0,0,4,2,0,0
Walt Aikens,MIA,@ BUF,L  17-33,0.0,0.0,0,0,1,0,0
Lorenzo Alexander,OAK,@ PIT,L  35-38,0.0,0.0,0,0,0,0,0
Kwon Alexander,TB,vs NYG,L  18-32,0.0,0.0,0,5,5,0,0
Jared Allen,CAR,vs GB,W  37-29,0.0,0.0,1,0,1,0,0
Ricardo Allen,ATL,@ SF,L  16-17,0.0,0.0,0,1,0,0,0
Beau Allen,PHI,@ DAL,W  33-27,0.0,0.0,0,3,0,0,0
Will Allen,PIT,vs OAK,W  38-35,0.0,0.0,0,4,3,0,0
Kiko Alonso,PHI,@ DAL,W  33-27,0.0,0.0,0,1,0,0,0
Tyson Alualu,,@ NYJ,L  23-28,0.0,0.0,0,0,3,0,0
David Amerson,OAK,@ PIT,L  35-38,0.0,0.0,0,8,0,0,0
Adrian Amos,CHI,@,W  22-19,0.0,0.0,0,3,0,0,0
Colt Anderson,IND,vs DEN,W  27-24,0.0,0.0,0,1,1,0,0
Jonathan Anderson,CHI,@,W  22-19,0.0,0.0,0,11,1,0,0
Henry Anderson,IND,vs DEN,W  27-24,0.0,0.0,0,1,0,0,0
Stephone Anthony,NO,vs TEN,L  28-34,0.0,0.0,1,4,4,0,0
Arik Armstead,SF,vs ATL,W  17-16,0.0,0.0,1,1,0,0,0
Ray-Ray Armstrong,OAK,@ PIT,L  35-38,0.0,0.0,0,0,0,0,0
Larry Asante,OAK,@ PIT,L  35-38,0.0,0.0,0,4,0,0,0
Jeremiah Attaochu,,vs CHI,L  19-22,0.0,0.0,2,2,1,0,0
Robert Ayers,NYG,@ TB,W  32-18,0.0,0.0,0,1,0,0,0
Akeem Ayers,,@ MIN,L  18-21,0.0,0.0,0,4,0,1,0
Jonathan Babineaux,ATL,@ SF,L  16-17,0.0,0.0,1,3,0,0,0
Stedman Bailey,,@ MIN,L  18-21,0.0,0.0,0,0,0,0,0
Chris Baker,WAS,@ NE,L  10-27,0.0,0.0,0,5,2,0,0
Anthony Barr,MIN,vs,W  21-18,0.0,0.0,0,5,1,0,0
Shaquil Barrett,DEN,@ IND,L  24-27,0.0,0.0,1,2,3,0,0
Mark Barron,,@ MIN,L  18-21,0.0,0.0,0,6,0,0,0
Lamin Barrow,CHI,@,W  22-19,0.0,0.0,0,0,0,0,0
David Bass,TEN,@ NO,W  34-28,0.0,0.0,0,1,0,0,0
Houston Bates,WAS,@ NE,L  10-27,0.0,0.0,0,0,0,0,0
Vic Beasley,ATL,@ SF,L  16-17,0.0,0.0,0,1,0,0,0
Odell Beckham,NYG,@ TB,W  32-18,0.0,0.0,0,0,0,0,0
Nick Bellore,SF,vs ATL,W  17-16,0.0,0.0,0,0,0,0,0
Michael Bennett,,@ NYJ,L  23-28,0.0,0.0,0,1,0,0,0
Bene' Benwikere,CAR,vs GB,W  37-29,0.0,0.0,0,2,4,0,0
Kroy Biermann,ATL,@ SF,L  16-17,0.0,0.0,0,3,1,0,0
E.J. Biggers,PHI,@ DAL,W  33-27,0.0,0.0,0,0,0,0,0
Will Blackmon,WAS,@ NE,L  10-27,0.0,0.0,0,3,5,1,1
Antwon Blake,PIT,vs OAK,W  38-35,0.0,0.0,0,8,1,1,0
LeGarrette Blount,NE,vs WAS,W  27-10,0.0,0.0,0,0,0,0,0
Tommy Bohanon,NYJ,vs,W  28-23,0.0,0.0,0,0,0,0,0
Omar Bolden,DEN,@ IND,L  24-27,0.0,0.0,0,0,0,0,0
Blake Bortles,,@ NYJ,L  23-28,0.0,0.0,0,0,0,0,0
Jon Bostic,NE,vs WAS,W  27-10,0.0,0.0,1,0,1,0,0
Zackary Bowman,MIA,@ BUF,L  17-33,0.0,0.0,0,0,0,0,0
Brandon Boykin,PIT,vs OAK,W  38-35,0.0,0.0,0,0,0,0,0
Nigel Bradham,BUF,vs MIA,W  33-17,0.0,0.0,0,4,3,0,0
Tom Brady,NE,vs WAS,W  27-10,0.0,0.0,0,0,0,0,0
Alan Branch,NE,vs WAS,W  27-10,0.0,0.0,0,1,1,1,0
Andre Branch,,@ NYJ,L  23-28,0.0,0.0,0,2,0,0,0
Delvin Breaux,NO,vs TEN,L  28-34,0.0,0.0,0,2,0,0,0
Bashaud Breeland,WAS,@ NE,L  10-27,0.0,0.0,0,0,1,0,0
Jasper Brinkley,NYG,@ TB,W  32-18,0.0,0.0,0,5,2,1,1
Michael Brockers,,@ MIN,L  18-21,0.0,0.0,0,4,0,0,0
Jay Bromley,NYG,@ TB,W  32-18,0.0,0.0,2,2,1,0,0
