Name,Team,Opp,Score,Comp,Att,Yds,TD,Int,Sck,FUM,Rate
Kirk Cousins,WAS,@ DAL,L  26-31,41,53,449,3,0,0,0,120.7
Trevor Siemian,DEN,vs KC,L  27-30,20,34,368,3,0,5,0,125.6
Josh McCown,CLE,vs NYG,L  13-27,25,43,322,1,0,7,2,89.5
Matt Barkley,CHI,vs TEN,L  21-27,28,54,316,3,2,0,0,72.8
Derek Carr,OAK,vs CAR,W  35-32,26,38,315,2,1,1,1,100.2
Aaron Rodgers,GB,@ PHI,W  27-13,30,39,313,2,0,0,0,116.7
Drew Brees,NO,vs LA,W  49-21,28,36,310,4,0,2,1,139.6
Colin Kaepernick,SF,@ MIA,L  24-31,29,46,296,3,1,2,0,94.1
Carson Palmer,ARI,@ ATL,L  19-38,25,45,289,2,1,2,0,80.7
Tom Brady,NE,@ NYJ,W  22-17,30,50,286,2,0,0,0,89.2
Ryan Tannehill,MIA,vs SF,W  31-24,20,30,285,3,0,2,0,130.6
Andy Dalton,CIN,@ BAL,L  14-19,26,48,283,1,0,3,2,78.7
Ryan Fitzpatrick,NYJ,vs NE,L  17-22,22,32,269,2,0,1,1,115.2
Matt Ryan,ATL,vs ARI,W  38-19,26,34,269,2,1,3,0,106.1
Carson Wentz,PHI,vs GB,L  13-27,24,36,254,0,1,4,0,75.5
Cam Newton,CAR,@ OAK,L  32-35,14,29,246,2,1,2,1,86.3
Brock Osweiler,HOU,vs,L  13-21,22,37,246,0,3,1,0,45.6
Philip Rivers,,@ HOU,W  21-13,22,30,242,3,1,1,0,116.3
Joe Flacco,BAL,vs CIN,W  19-14,25,36,234,1,1,2,0,84.7
Matthew Stafford,DET,vs MIN,W  16-13,23,40,232,1,0,2,0,82.5
Marcus Mariota,TEN,@ CHI,W  27-21,15,23,226,2,0,0,0,126.4
Sam Bradford,MIN,@ DET,L  13-16,31,37,224,0,1,0,0,80.6
Ben Roethlisberger,PIT,@ IND,W  28-7,14,20,221,3,0,0,0,146.0
Alex Smith,KC,@ DEN,W  30-27,26,44,220,1,0,6,0,79.7
Jameis Winston,TB,vs SEA,W  14-5,21,28,220,2,1,0,0,106.2
Jared Goff,LA,@ NO,L  21-49,20,32,214,3,1,3,1,100.3
Scott Tolzien,IND,vs PIT,L  7-28,22,36,205,1,2,3,0,62.8
Dak Prescott,DAL,vs WAS,W  31-26,17,24,195,1,0,1,0,108.9
Eli Manning,NYG,@ CLE,W  27-13,15,27,194,3,0,1,0,115.4
Tyrod Taylor,BUF,vs JAX,W  28-21,12,18,166,1,0,5,0,114.6
Russell Wilson,SEA,@ TB,L  5-14,17,33,151,0,2,6,0,38.8
Blake Bortles,JAX,@ BUF,L  21-28,13,26,126,2,0,2,0,89.6
Willie Snead,NO,vs LA,W  49-21,1,1,50,1,0,0,0,158.3
Pat McAfee,IND,vs PIT,L  7-28,1,1,35,0,0,0,0,118.8
Duke Johnson,CLE,vs NYG,L  13-27,0,1,0,0,0,0,0,39.6
Landry Jones,PIT,@ IND,W  28-7,0,1,0,0,0,0,0,39.6
Matthew McGloin,OAK,vs CAR,W  35-32,0,1,0,0,0,0,0,39.6
