Name,Team,Opp,Score,FG Made,FG Att,XP Made,XP Att,Pts
Mason Crosby,GB,vs MIN,T 29-29,5,6,2,2,17
Robbie Gould,SF,vs DET,W  30-27,3,3,3,3,12
Randy Bullock,CIN,vs BAL,W  34-23,2,2,4,4,10
Dustin Hopkins,WAS,vs IND,L  9-21,3,4,0,0,9
Matt Prater,DET,@ SF,L  27-30,2,2,3,3,9
Stephen Gostkowski,NE,@ JAX,L  20-31,2,3,2,2,8
Stephen Hauschka,BUF,vs LAC,L  20-31,2,2,2,2,8
Brett Maher,DAL,vs NYG,W  20-13,2,2,2,2,8
Brandon McManus,DEN,vs OAK,W  20-19,2,2,2,2,8
Ryan Succop,TEN,vs HOU,W  20-17,2,2,2,2,8
Matt Bryant,ATL,vs CAR,W  31-24,1,1,4,4,7
Josh Lambo,JAX,vs NE,W  31-20,1,1,4,4,7
Wil Lutz,NO,vs CLE,W  21-18,2,3,1,1,7
Mike Nugent,OAK,@ DEN,L  19-20,2,2,1,2,7
Aldrick Rosas,NYG,@ DAL,L  13-20,2,2,1,1,7
Caleb Sturgis,LAC,@ BUF,W  31-20,1,1,4,4,7
Harrison Butker,KC,@ PIT,W  42-37,0,0,6,6,6
Graham Gano,CAR,@ ATL,L  24-31,1,1,3,3,6
Zane Gonzalez,CLE,@ NO,L  18-21,2,4,0,2,6
Jason Myers,NYJ,vs MIA,L  12-20,2,2,0,1,6
Cody Parkey,CHI,vs SEA,W  24-17,1,1,3,3,6
Ka'imi Fairbairn,HOU,@ TEN,L  17-20,1,2,2,2,5
Sebastian Janikowski,SEA,@ CHI,L  17-24,1,1,2,2,5
Justin Tucker,BAL,@ CIN,L  23-34,1,1,2,2,5
Johnny Hekker,LA,vs ARI,W  34-0,1,1,1,1,4
Chris Boswell,PIT,vs KC,L  37-42,0,1,3,4,3
Daniel Carlson,MIN,@ GB,T 29-29,0,3,3,3,3
Chandler Catanzaro,TB,vs PHI,W  27-21,0,0,3,4,3
Jake Elliott,PHI,@ TB,L  21-27,0,1,3,3,3
Adam Vinatieri,IND,@ WAS,W  21-9,0,0,3,3,3
Jason Sanders,MIA,@ NYJ,W  20-12,0,0,2,3,2
