Name,Team,Opp,Score,No.,Yds,Gross Avg,Net Avg,Touchbacks,Inside 20,Long,Blocked
Michael Palardy,CAR,@ TB,L  17-24,2,113,56.5,46.5,1,0,59,0
Thomas Morstead,NO,@ DAL,L  10-13,4,206,51.5,44.5,1,1,57,0
Jordan Berry,PIT,vs LAC,L  30-33,4,204,51.0,32.8,0,2,63,0
Chris Jones,DAL,vs NO,W  13-10,3,153,51.0,45.3,0,1,52,0
Pat O'Donnell,CHI,@ NYG,L  27-30,6,303,50.5,44.5,0,1,65,0
Matt Bosher,ATL,vs BAL,L  16-26,5,252,50.4,45.6,1,3,55,0
Johnny Hekker,LA,@ DET,W  30-16,3,151,50.3,43.7,1,1,55,0
Michael Dickson,SEA,vs SF,W  43-16,4,199,49.8,46.5,0,1,56,0
Rigoberto Sanchez,IND,@ JAX,L  0-6,6,298,49.7,41.7,2,3,57,0
J.K. Scott,GB,vs ARI,L  17-20,7,339,48.4,40.7,2,2,57,0
Tress Way,WAS,@ PHI,L  13-28,6,290,48.3,45.2,0,2,59,0
Sam Martin,DET,vs LA,L  16-30,6,286,47.7,44.7,0,2,58,0
Sam Koch,BAL,@ ATL,W  26-16,3,142,47.3,34.7,1,1,65,0
Logan Cooke,JAX,vs IND,W  6-0,7,329,47.0,45.1,0,2,56,0
Cameron Johnston,PHI,vs WAS,W  28-13,2,93,46.5,46.0,0,1,50,0
Matt Darr,BUF,@ MIA,L  17-21,4,183,45.8,44.3,0,2,53,0
Matt Haack,MIA,vs BUF,W  21-17,7,320,45.7,45.7,0,2,56,0
Matt Wile,MIN,@ NE,L  10-24,5,228,45.6,39.8,0,2,53,0
Britton Colquitt,CLE,@ HOU,L  13-29,2,91,45.5,35.5,1,0,51,0
Andy Lee,ARI,@ GB,W  20-17,6,269,44.8,40.7,0,3,64,0
Bryan Anger,TB,vs CAR,W  24-17,6,267,44.5,40.2,1,2,55,0
Lachlan Edwards,NYJ,@ TEN,L  22-26,6,267,44.5,37.8,2,1,67,0
Riley Dixon,NYG,vs CHI,W  30-27,7,311,44.4,42.1,0,1,54,0
Brett Kern,TEN,vs NYJ,W  26-22,6,266,44.3,34.6,1,1,53,1
Kevin Huber,CIN,vs DEN,L  10-24,7,303,43.3,39.6,1,1,69,0
Colby Wadman,DEN,@ CIN,W  24-10,6,260,43.3,42.7,0,4,58,0
Ryan Allen,NE,vs MIN,W  24-10,4,166,41.5,35.5,1,2,52,0
Dustin Colquitt,KC,@ OAK,W  40-33,3,123,41.0,41.0,0,0,45,0
Bradley Pinion,SF,@ SEA,L  16-43,5,202,40.4,41.2,0,2,48,0
Trevor Daniel,HOU,vs CLE,W  29-13,3,114,38.0,38.0,0,3,52,0
Donnie Jones,LAC,@ PIT,W  33-30,4,145,36.3,34.0,0,1,52,0
Johnny Townsend,OAK,vs KC,L  33-40,2,61,30.5,30.5,0,1,39,0
