Name,Team,Opp,Score,Rec,Yds,Avg,TD,FUM
A.J. Green,CIN,@ BAL,W  28-24,10,227,22.7,2,0
Steve Smith,BAL,vs CIN,L  24-28,13,186,14.3,2,0
Julio Jones,ATL,@ DAL,W  39-28,12,164,13.7,2,0
Jeremy Maclin,KC,@ GB,L  28-38,8,141,17.6,1,0
James Jones,GB,vs KC,W  38-28,7,139,19.9,1,0
Amari Cooper,OAK,@ CLE,W  27-20,8,134,16.8,0,1
Larry Fitzgerald,ARI,vs SF,W  47-7,9,134,14.9,2,0
Greg Olsen,CAR,vs NO,W  27-22,8,134,16.8,2,0
Keenan Allen,,@ MIN,L  14-31,12,133,11.1,2,0
Rueben Randle,NYG,vs WAS,W  32-21,7,116,16.6,1,0
Rishard Matthews,MIA,vs BUF,L  14-41,6,113,18.8,2,0
Brandon Marshall,NYJ,vs PHI,L  17-24,10,109,10.9,1,1
Antonio Brown,PIT,@,W  12-6,11,108,9.8,0,0
Gary Barnidge,CLE,vs OAK,L  20-27,6,105,17.5,1,0
Kenny Britt,,vs PIT,L  6-12,7,102,14.6,0,0
Mike Evans,TB,@ HOU,L  9-19,7,101,14.4,0,0
Rob Gronkowski,NE,vs,W  51-17,4,101,25.2,0,0
DeAndre Hopkins,HOU,vs TB,W  19-9,8,101,12.6,1,0
Lance Dunbar,DAL,vs ATL,L  28-39,10,100,10.0,0,0
Brian Hartline,CLE,vs OAK,L  20-27,5,96,19.2,0,0
Jordan Reed,WAS,@ NYG,L  21-32,6,96,16.0,0,0
Kendall Wright,TEN,vs IND,L  33-35,7,95,13.6,1,0
T.Y. Hilton,IND,@ TEN,W  35-33,4,94,23.5,0,0
Marvin Jones,CIN,@ BAL,W  28-24,5,94,18.8,1,0
Ted Ginn,CAR,vs NO,W  27-22,4,93,23.2,0,0
Demaryius Thomas,DEN,@ DET,W  24-12,9,92,10.2,1,1
Randall Cobb,GB,vs KC,W  38-28,7,91,13.0,3,0
Emmanuel Sanders,DEN,@ DET,W  24-12,6,87,14.5,0,0
Julian Edelman,NE,vs,W  51-17,8,85,10.6,0,0
Jimmy Graham,SEA,vs CHI,W  26-0,7,83,11.9,1,0
Charles Clay,BUF,@ MIA,W  41-14,5,82,16.4,1,0
Travis Kelce,KC,@ GB,L  28-38,6,80,13.3,0,0
Odell Beckham,NYG,vs WAS,W  32-21,7,79,11.3,1,0
Brandin Cooks,NO,@ CAR,L  22-27,7,79,11.3,0,0
Calvin Johnson,DET,vs DEN,L  12-24,8,77,9.6,0,0
Jermaine Kearse,SEA,vs CHI,W  26-0,6,76,12.7,0,0
Le'Veon Bell,PIT,@,W  12-6,7,70,10.0,0,0
Allen Hurns,,@ NE,L  17-51,2,70,35.0,1,0
Allen Robinson,,@ NE,L  17-51,4,68,17.0,0,0
Delanie Walker,TEN,vs IND,L  33-35,7,68,9.7,0,0
Jarvis Landry,MIA,vs BUF,L  14-41,8,67,8.4,0,0
Percy Harvin,BUF,@ MIA,W  41-14,7,66,9.4,0,0
Theo Riddick,DET,vs DEN,L  12-24,8,66,8.2,0,0
Jason Witten,DAL,vs ATL,L  28-39,6,65,10.8,0,0
Pierre Garcon,WAS,@ NYG,L  21-32,5,64,12.8,0,0
Malcom Floyd,,@ MIN,L  14-31,4,63,15.8,0,0
John Brown,ARI,vs SF,W  47-7,3,62,20.7,0,0
Eric Ebron,DET,vs DEN,L  12-24,4,61,15.2,0,0
Louis Murphy,TB,@ HOU,L  9-19,3,61,20.3,0,0
Cecil Shorts,HOU,vs TB,W  19-9,6,58,9.7,0,0
Golden Tate,DET,vs DEN,L  12-24,5,57,11.4,0,0
Chris Thompson,WAS,@ NYG,L  21-32,8,57,7.1,1,0
Seth Roberts,OAK,@ CLE,W  27-20,3,56,18.7,1,0
Marcel Reece,OAK,@ CLE,W  27-20,1,55,55.0,0,0
Devonta Freeman,ATL,@ DAL,W  39-28,5,52,10.4,0,0
Coby Fleener,IND,@ TEN,W  35-33,4,51,12.8,0,0
Quincy Enunwa,NYJ,vs PHI,L  17-24,5,50,10.0,0,0
Bennie Fowler,DEN,@ DET,W  24-12,4,50,12.5,0,0
Cole Beasley,DAL,vs ATL,L  28-39,4,49,12.2,0,0
Mark Ingram,NO,@ CAR,L  22-27,5,49,9.8,0,0
Jordan Matthews,PHI,@ NYJ,W  24-17,6,49,8.2,0,0
Mike Wallace,MIN,vs,W  31-14,3,49,16.3,0,0
Marques Colston,NO,@ CAR,L  22-27,4,47,11.8,0,0
Steve Johnson,,@ MIN,L  14-31,3,46,15.3,0,0
DeVante Parker,MIA,vs BUF,L  14-41,3,46,15.3,0,0
